cSectionStatus,courseNumber,courseTitle,crn,department,description,distDesg,finalExam,instructorList,instructorUPI,meetingEndTimeList,meetingPattern,meetingPatternLocation,meetingStartTimeList,prerequisites,primXLst,schoolCode,schoolDescription,scndXLst,sectionNumber,sectionStatus,session,shortTitle,subjectCode,subjectNumber,syllabusLink,termCode
A,110,Elementary Modern Hebrew I,10595,NELC,"<p>Introduction to the language of contemporary Israel, both spoken and written. Fundamentals of grammar; extensive practice in speaking, reading, and writing under the guidance of a native speaker.</p>",['YCL1'],50,['Dina Roginsky'],['13489046'],[],['M-F 10.30-11.20'],['HQ 129'],[],,,YC,Yale College,['HEBR500'],01,A,,Elementary Modern Hebrew I,HEBR,HEBR110,https://yale.instructure.com/courses/97161/assignments/syllabus,202403
A,110,Elementary Modern Hebrew I,10596,NELC,"<p>Introduction to the language of contemporary Israel, both spoken and written. Fundamentals of grammar; extensive practice in speaking, reading, and writing under the guidance of a native speaker.</p>",['YCL1'],50,['Dina Roginsky'],['13489046'],[],['M-F 11.35-12.25'],['HQ 129'],[],,,YC,Yale College,['HEBR500'],02,A,,Elementary Modern Hebrew I,HEBR,HEBR110,https://yale.instructure.com/courses/97161/assignments/syllabus,202403
A,117,Elementary Biblical Hebrew I,10597,NELC,"<p>An introduction to biblical Hebrew. Intensive instruction in grammar and vocabulary, supplemented by readings from the Bible.</p>",['YCL1'],50,['Dina Roginsky'],['13489046'],[],['TTh 2.30-3.45'],['HQ 129'],[],"<p class=""prerequisites"">No prior knowledge of Hebrew required.</p>",HEBR511,YC,Yale College,[],01,A,,Elementary Biblical Hebrew I,HEBR,HEBR117,https://yale.instructure.com/courses/98515/assignments/syllabus,202403
A,130,Intermediate Modern Hebrew I,10598,NELC,"<p>Review and continuation of grammatical study, leading to a deeper understanding of style and usage. Focus on selected readings and on writing, comprehension, and speaking skills.</p>",['YCL3'],50,['Orit Yeret'],['17153612'],[],['M-F 10.30-11.20'],['WLH 115'],[],"<p class=""prerequisites"">Prerequisite: HEBR 120 or equivalent.</p>",,YC,Yale College,['HEBR502'],01,A,,Intermediate Modern Hebrew I,HEBR,HEBR130,https://yale.instructure.com/courses/98519/assignments/syllabus,202403
A,130,Intermediate Modern Hebrew I,10599,NELC,"<p>Review and continuation of grammatical study, leading to a deeper understanding of style and usage. Focus on selected readings and on writing, comprehension, and speaking skills.</p>",['YCL3'],50,['Orit Yeret'],['17153612'],[],['M-F 11.35-12.25'],['WLH 115'],[],"<p class=""prerequisites"">Prerequisite: HEBR 120 or equivalent.</p>",,YC,Yale College,['HEBR502'],02,A,,Intermediate Modern Hebrew I,HEBR,HEBR130,https://yale.instructure.com/courses/98519/assignments/syllabus,202403
A,158,Contemporary Israeli Society in Film,10600,NELC,"<p>Examination of major themes in Israeli society through film, with emphasis on language study. Topics include migration, gender and sexuality, Jewish/Israeli identity, and private and collective memory. Readings in Hebrew and English provide a sociohistorical background and bases for class discussion.</p>","['YCHU', 'YCL5']",50,['Shiri Goren'],['12331737'],[],['MW 2.30-3.45'],['HQ 225'],[],"<p class=""prerequisites"">Prerequisites: HEBR 140 or permission of instructor.</p>",,YC,Yale College,"['HEBR505', 'MMES168', 'JDST305']",01,A,,Contemp IsraeliSociety in Film,HEBR,HEBR158,https://yale.instructure.com/courses/98525/assignments/syllabus,202403
A,159,Conversational Hebrew: Israeli Media,10601,NELC,"<p>An advanced Hebrew course for students interested in practicing and enhancing conversational skills. Focus on listening comprehension and on various forms of discussion, including practical situations, online interactions, and content analysis.</p>
",['YCL5'],50,['Shiri Goren'],['12331737'],[],['MW 11.35-12.50'],['HQ 213'],[],"<p class=""prerequisites"">Prerequisite: HEBR 140 or permission of instructor.</p>",,YC,Yale College,"['JDST409', 'MMES159', 'HEBR510']",01,A,,ConvrsatnlHebrew:Israeli Media,HEBR,HEBR159,https://yale.instructure.com/courses/98243/assignments/syllabus,202403
A,170,Introduction to Literary Chinese I,11297,EALL,"<p>Reading and interpretation of texts in various styles of literary Chinese (<em>wenyan</em>), with attention to basic problems of syntax and literary style. Course conducted in English.</p>",['YCL5'],24,['Pauline Lin'],['11495422'],[],['TTh 11.35-12.50'],['HQ 132'],[],"<p class=""prerequisites"">After CHNS 151, 153, 157, or equivalent.</p>",,YC,Yale College,['CHNS570'],01,A,,Intro to Literary Chinese I,CHNS,CHNS170,https://yale.instructure.com/courses/98239/assignments/syllabus,202403
A,200,The Chinese Tradition,11373,EALL,"<p>An introduction to the literature, culture, and thought of premodern China, from the beginnings of the written record to the turn of the twentieth century. Close study of textual and visual primary sources, with attention to their historical and cultural backdrops. Students enrolled in CHNS 200 join a weekly Mandarin-language discussion section.</p>","['YCHU', 'YXWR']",0,['Tina Lu'],['12649518'],[],['MW 10.30-11.20'],['HQ L01'],[],"<p class=""prerequisites"">No knowledge of Chinese required for students enrolled in EALL 200. Students enrolled in CHNS 200 must have L5 proficiency in Mandarin or permission of the course instructor.</p>",EALL200,YC,Yale College,"['EAST240', 'HUMS270']",01,A,,The Chinese Tradition TR,CHNS,CHNS200,https://yale.instructure.com/courses/98178/assignments/syllabus,202403
A,110,Elementary Modern Chinese I,13060,EALL,"<p>Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.</p>",['YCL1'],0,['Rongzhen Li'],['11783844'],[],['M-F 9.25-10.15'],['WALL53 B-03'],[],,,YC,Yale College,[],01,A,,Elementary Modern Chinese I,CHNS,CHNS110,https://yale.instructure.com/courses/100074/assignments/syllabus,202403
