courseNumber,courseTitle,crn,department,description,distDesg,meetingPattern,prerequisites
110,Elementary Modern Hebrew I,10595,NELC,"Introduction to the language of contemporary Israel, both spoken and written. Fundamentals of grammar; extensive practice in speaking, reading, and writing under the guidance of a native speaker.",['YCL1'],['M-F 10.30-11.20'],Value Not Provided
117,Elementary Biblical Hebrew I,10597,NELC,"An introduction to biblical Hebrew. Intensive instruction in grammar and vocabulary, supplemented by readings from the Bible.",['YCL1'],['TTh 2.30-3.45'],No prior knowledge of Hebrew required.
130,Intermediate Modern Hebrew I,10598,NELC,"Review and continuation of grammatical study, leading to a deeper understanding of style and usage. Focus on selected readings and on writing, comprehension, and speaking skills.",['YCL3'],['M-F 10.30-11.20'],Prerequisite: HEBR 120 or equivalent.
158,Contemporary Israeli Society in Film,10600,NELC,"Examination of major themes in Israeli society through film, with emphasis on language study. Topics include migration, gender and sexuality, Jewish/Israeli identity, and private and collective memory. Readings in Hebrew and English provide a sociohistorical background and bases for class discussion.","['YCHU', 'YCL5']",['MW 2.30-3.45'],Prerequisites: HEBR 140 or permission of instructor.
159,Conversational Hebrew: Israeli Media,10601,NELC,"An advanced Hebrew course for students interested in practicing and enhancing conversational skills. Focus on listening comprehension and on various forms of discussion, including practical situations, online interactions, and content analysis.",['YCL5'],['MW 11.35-12.50'],Prerequisite: HEBR 140 or permission of instructor.
170,Introduction to Literary Chinese I,11297,EALL,"Reading and interpretation of texts in various styles of literary Chinese (wenyan), with attention to basic problems of syntax and literary style. Course conducted in English.",['YCL5'],['TTh 11.35-12.50'],"After CHNS 151, 153, 157, or equivalent."
200,The Chinese Tradition,11373,EALL,"An introduction to the literature, culture, and thought of premodern China, from the beginnings of the written record to the turn of the twentieth century. Close study of textual and visual primary sources, with attention to their historical and cultural backdrops. Students enrolled in CHNS 200 join a weekly Mandarin-language discussion section.","['YCHU', 'YXWR']",['MW 10.30-11.20'],No knowledge of Chinese required for students enrolled in EALL 200. Students enrolled in CHNS 200 must have L5 proficiency in Mandarin or permission of the course instructor.
110,Elementary Modern Chinese I,13060,EALL,"Intended for students with no background in Chinese. An intensive course with emphasis on spoken language and drills. Pronunciation, grammatical analysis, conversation practice, and introduction to reading and writing Chinese characters.",['YCL1'],['M-F 9.25-10.15'],Value Not Provided
112,Elementary Modern Chinese for Heritage Speakers,13115,EALL,"First level of the advanced learner sequence. Intended for students with some aural proficiency but very limited ability in reading and writing Chinese. Training in listening and speaking, with emphasis on reading and writing. Placement confirmed by placement test and by instructor.",['YCL1'],['M-F 9.25-10.15'],Value Not Provided
130,Intermediate Modern Chinese I,13117,EALL,"An intermediate course that continues intensive training in listening, speaking, reading, and writing and consolidates achievements from the first year of study. Students improve oral fluency, study more complex grammatical structures, and enlarge both reading and writing vocabulary.",['YCL3'],['M-F 9.25-10.15'],After CHNS 120 or equivalent.
132,Intermediate Modern Chinese for Heritage Speakers,13169,EALL,"The second level of the advanced learner sequence. Intended for students with intermediate oral proficiency and elementary reading and writing proficiency. Students receive intensive training in listening, speaking, reading, and writing, supplemented by audio and video materials. The objective of the course is to balance these four skills and work toward attaining an advanced level in all of them.",['YCL3'],['M-F 9.25-10.15'],Prerequisite: CHNS 122b or equivalent.
150,Advanced Modern Chinese I,13178,EALL,"Third level of the standard foundational sequence of modern Chinese, with study in speaking, listening, reading, and writing. Use of audiovisual materials, oral presentations, skits, and longer and more frequent writing assignments to assimilate more sophisticated grammatical structures. Further introduction to a wide variety of written forms and styles. Use of both traditional and simplified forms of Chinese characters.",['YCL5'],['MWF 9.25-10.15'],After CHNS 140 or equivalent.
152,Advanced Modern Chinese for Heritage Speakers,13186,EALL,"This course is intended for heritage speakers with intermediate high to advanced low speaking and listening skills and with intermediate reading and writing skills. The class follows CHNS 142 in the heritage track. The goal of the course is to help students effectively expand their skills in reading and writingwhile concurrentlyaddressing the need to improve their listening and oral skills in formal environments. The materials cover a variety of topics relating to Chinese culture, society, and cultural differences,supplemented with authentic video materials.",['YCL5'],['MWF 9.25-10.15'],Prerequisite: CHNS 142 or equivalent.
